sessionId,shape_n,weight_n,flow_n,kt,SubjectID,Timestamp,SAM_Valence,SAM_Arousal,SAM_Dominance,MVM_Q1(Weight),MVM_Q2(Time),MVM_Q3(CrossModal),MVM_Q4(Intuition),MVM_Q5(Aesthetics),SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,SUS_Score,Qual_Q1,Qual_Q2,Age,Gender,SessionID
sess_kqhdfa7nt,0.7891001270796154,0.5689762995383078,0.43224338535704615,0.6235803667078461,S06,2026/3/17 下午 3:58:54,8.0,6.0,5.0,4.0,7.0,5.0,4.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,65.0,無,無,60 – 69 歲,男,sess_kqhdfa7nt
sess_kyzdclamk,0.4026749499150411,0.5836719377590822,0.40003207593873974,0.5441262859985343,S18,2026/3/10 上午 11:29:09,9.0,5.0,9.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,62.5,無,無,80 歲以上,男,sess_kyzdclamk
sess_mqanqsxwc,0.19534458957072728,0.42812546435954546,0.621221230169394,0.3526589025824242,S05,2026/3/17 下午 3:54:53,8.0,8.0,9.0,6.0,7.0,7.0,5.0,7.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,75.0,無,無,80 歲以上,女,sess_mqanqsxwc
sess_oqwg2e16f,0.15904335406729167,0.33300100902879165,0.243300091890625,0.43780620996708336,S27,2026/3/30 上午 11:24:02,9.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,70.0,搖擺,無,70 – 79 歲,男,sess_oqwg2e16f
sess_pbcvi4r6t,0.30235751139865674,0.42012673280044777,0.7182283186164179,0.3422601594516418,S24,2026/3/30 上午 11:06:57,9.0,8.0,9.0,7.0,7.0,7.0,6.0,7.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,67.5,煙火,無,80 歲以上,女,sess_pbcvi4r6t
sess_pp60os06z,0.2688621533230357,0.8945536038875,0.07574463625625001,0.7485263571946429,S19,2026/3/10 上午 11:30:11,9.0,7.0,5.0,5.0,3.0,5.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,60.0,煙火,不要太難,80 歲以上,女,sess_pp60os06z
sess_qkoi1afwv,1.0,0.9354892876114286,0.19466710976661428,0.9060622266285714,S02,2026/3/10 下午 3:27:21,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,70.0,動作煙火,可以有動作引導,60 – 69 歲,女,sess_qkoi1afwv
sess_qks61zrp3,0.25561153367008,0.468394027932,0.545159766452,0.410454576332,S15,2026/3/10 上午 11:25:31,9.0,9.0,6.0,7.0,7.0,5.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,57.5,手勢,不要太難,80 歲以上,女,sess_qks61zrp3
sess_rw7kcxk8s,0.32398340899789474,0.5409477556526315,0.5589200274306316,0.45175294490999995,S12,2026/3/10 上午 11:23:02,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,87.5,畫面,沒有,80 歲以上,女,sess_rw7kcxk8s
sess_svfq1mtx5,1.0,1.0,0.0,1.0,S29,2026/3/30 下午 1:09:53,8.0,7.0,7.0,5.0,4.0,5.0,3.0,6.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,2.0,5.0,2.0,75.0,愛心,無,60 – 69 歲,女,sess_svfq1mtx5
sess_t0m1tmnkq,0.9284203797172221,0.9206252944351667,0.3324658205811389,0.8339921754949999,S30,2026/3/30 下午 1:12:19,9.0,9.0,8.0,7.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,55.0,跳舞,無,70 – 79 歲,女,sess_t0m1tmnkq
sess_t3q3il099,0.36063649996828845,0.31523757659373075,0.39017818670057697,0.42969179029346155,S20,2026/3/10 上午 11:31:24,9.0,8.0,9.0,5.0,6.0,7.0,7.0,6.0,2.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,82.5,無,無,80 歲以上,女,sess_t3q3il099
sess_v7jmg2ig7,0.5659626994086667,0.7324431041853333,0.26503591666653337,0.6917053456893334,S03,2026/3/10 下午 3:31:17,9.0,7.0,9.0,6.0,6.0,6.0,4.0,6.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,85.0,綜合,不用,70 – 79 歲,女,sess_v7jmg2ig7
sess_wkabiktqx,0.3258245442269277,0.9395089444253013,0.329989449723253,0.6917634064253012,S16,2026/3/10 上午 11:27:40,8.0,7.0,9.0,6.0,6.0,6.0,7.0,6.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,52.5,很好玩,覺得使用上需要有旁人協助，在使用電腦上面非常困難,70 – 79 歲,女,sess_wkabiktqx
sess_ytlau6ief,0.2617535318036054,0.6903141140631351,0.37902133661795134,0.5589065607617838,S08,2026/3/24 下午 3:57:51,8.0,8.0,9.0,5.0,5.0,7.0,7.0,7.0,4.0,1.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,45.0,煙火,不知道要做什麼動作,70 – 79 歲,男,sess_ytlau6ief
