sessionId	userId	timestamp	mode	activity	shape_n	weight_n	flow_n	kt	baselineReady	note								
sess_ys157bttz	anonymous	2026-03-24T02:40:28.020Z	B	Baseline_End	0.3874329697	0.518953195	0.3001102968	0.5494009165	TRUE	0.609	0.3907	0.4547	0.4635	0.5749	0.1398	0.4788	0.1286	baseline calibrated
sess_ys157bttz	anonymous	2026-03-24T02:40:47.267Z	B	Dance_Continuous	0.4124725649	0	0.9731708912	0.1125083293	TRUE	0.6327	0.4717	0.5596	0.5676	0.6141	0.4818	0.5762	0.4761	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:40:52.528Z	B	Gull_Flap	1	0.5894843336	0.7320162558	0.5795880439	TRUE	0.756	0.3298	0.3077	0.384	0.5781	0.46	0.4689	0.4587	
sess_ys157bttz	anonymous	2026-03-24T02:40:54.096Z	B	Fireworks_Explosion	1	0.4723587876	0.227431313	0.7093425555	TRUE	0.6924	0.3626	0.2958	0.3818	0.5663	0.4777	0.4563	0.4898	left
sess_ys157bttz	anonymous	2026-03-24T02:40:56.599Z	B	Gull_Flap	1	0.1619000061	0.5921262455	0.4575158165	TRUE	0.7901	0.3891	0.2332	0.44	0.576	0.4827	0.4615	0.4769	
sess_ys157bttz	anonymous	2026-03-24T02:40:57.735Z	B	Gull_Flap	1	0	0.6481681355	0.3731411526	TRUE	0.8041	0.4115	0.2331	0.4157	0.5778	0.475	0.4625	0.4737	
sess_ys157bttz	anonymous	2026-03-24T02:40:58.880Z	B	Gull_Flap	1	0	0.5928853699	0.3924901205	TRUE	0.7847	0.4152	0.2413	0.4107	0.5741	0.483	0.4601	0.4877	
sess_ys157bttz	anonymous	2026-03-24T02:41:01.666Z	B	Victory	1	0	1	0.25	TRUE	0.5779	0.9026	0.3386	0.4233	0.5737	0.4794	0.4705	0.4894	right
sess_ys157bttz	anonymous	2026-03-24T02:41:10.199Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.5748	0.9012	0.3652	0.3013	0.5781	0.4837	0.4768	0.4855	right
sess_ys157bttz	anonymous	2026-03-24T02:41:12.315Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.5768	0.9024	0.3696	0.2808	0.5778	0.4847	0.478	0.4762	right
sess_ys157bttz	anonymous	2026-03-24T02:41:14.276Z	B	Fireworks_Explosion	1	0	1	0.25	TRUE	0.5793	0.9073	0.3443	0.4093	0.5802	0.4884	0.4777	0.4725	right
sess_ys157bttz	anonymous	2026-03-24T02:41:15.840Z	B	Victory	1	0	1	0.25	TRUE	0.5768	0.912	0.3634	0.3811	0.5801	0.4901	0.4782	0.4803	right
sess_ys157bttz	anonymous	2026-03-24T02:41:16.734Z	B	Victory	1	0.3269796184	1	0.3807918473	TRUE	0.7019	0.5422	0.5172	0.3958	0.5719	0.4853	0.4747	0.474	left
sess_ys157bttz	anonymous	2026-03-24T02:41:17.301Z	B	Dance_Continuous	1	0	1	0.25	TRUE	0.6935	0.3844	0.3422	0.3893	0.5719	0.4826	0.4724	0.4886	30s_Interval_AutoLog
sess_ys157bttz	anonymous	2026-03-24T02:41:17.884Z	B	Victory	1	0	1	0.25	TRUE	0.6926	0.5654	0.3415	0.2663	0.5685	0.4757	0.4699	0.4904	right
